rank,name,birth
1,이병헌 ,1980.00.00
2,브리 라슨 (Brie Larson),1989.10.01
3,조던 필 (Jordan Peele),1979.02.21
4,원진아 ,1991.03.29
5,박누리 ,
6,전소니 (JEON So-nee),
7,클린트 이스트우드 (Clint Eastwood),1930.05.31
8,스칼렛 요한슨 (Scarlett Johansson),1984.11.22
9,수현 (Soo-hyun Kim),
10,이정범 ,1971.09.21
11,이수진 (Lee Su jin),
12,김유성 ,1976.09.16
13,류준열 ,1986.09.25
14,사무엘 L. 잭슨 (Samuel L. Jackson),1948.12.21
15,앰버 허드 (Amber Heard),1986.04.22
16,왕대륙 (Da-lu Wang),1991.05.29
17,주드 로 (Jude Law),1972.12.29
18,진경 ,
19,이병헌 (Byung-hun Lee),
20,진선규 ,1977.09.13
21,조우진 (조신제),1979.01.16
22,이하늬 ,
23,애너 보든 (Anna Boden),
24,고마츠 나나 (Nana Komatsu),1996.02.16
25,로버트 다우니 주니어 (Robert Downey Jr.),1965.04.04
26,임윤 (Lin Yun),1996.04.16
27,레오나르도 디카프리오 (Leonardo Dicaprio),1974.11.11
28,홍상수 (Hong Sang soo),1960.00.00
29,루피타 뇽 (Lupita Nyong'o),1983.03.01
30,천우희 ,
31,안소니 루소 (Anthony Russo),
32,나탈리 포트만 (Natalie Portman),1981.06.09
33,장진희 ,
34,박찬욱 ,1963.08.23
35,류승룡 ,
36,제시카 로테 (Jessica Rothe),1987.05.28
37,유지태 (Yoo Ji-Tae),
38,공명 ,1994.05.26
39,마동석 (Don Lee),
40,박정민 ,
41,쿠엔틴 타란티노 (Quentin Tarantino),1963.03.27
42,금광산 ,1976.05.14
43,박해준 ,1976.06.14
44,김향기 (Kim Hyang-Gi),
45,크리스 헴스워스 (Chris Hemsworth),1983.08.11
46,비고 모텐슨 (Viggo Mortensen),1958.10.20
47,조슈 브롤린 (Josh Brolin),1968.02.12
48,김재영 ,
49,이선균 ,1975.03.02
50,강민아 ,1997.03.20
