rank,singer,song
1,"


			
			
			백예린
		

",그건 아마 우리의 잘못은 아닐 거야
2,"


			
			
			에픽하이 (EPIK HIGH)
		

",술이 달다 (Feat. Crush)
3,"


			
			
			ITZY(있지)
		

",달라달라
4,"


			
			
			엔플라잉(N.Flying)
		

",옥탑방
5,"


			
			
			화사(Hwa Sa)
		

",멍청이(twit)
6,"


			
			
			장범준
		

",당신과는 천천히
7,"


			
			
			청하
		

",벌써 12시
8,"


			
			
			잔나비
		

",주저하는 연인들을 위해
9,"


			
			
			백예린
		

",야간비행 (魔女の花)
10,"


			
			
			우디 (Woody)
		

",이 노래가 클럽에서 나온다면
11,"


			
			
			마마무(Mamamoo)
		

",고고베베 (gogobebe)
12,"


			
			
			M.C THE MAX
		

",넘쳐흘러
13,"


			
			
			이소라
		

",신청곡 (Feat. SUGA of BTS)
14,"


			
			
			폴킴
		

",너를 만나
15,"


			
			
			폴킴
		

","모든 날, 모든 순간 (Every day, Every Moment)"
16,"


			
			
			박봄
		

",봄 (Feat. 산다라박)
17,"


			
			
			헤이즈 (Heize)
		

",SHE'S FINE
18,"


			
			
			장범준
		

",노래방에서
19,"


			
			
			장범준
		

",일산으로
20,"


			
			
			벤
		

",180도
21,"


			
			
			TWICE(트와이스)
		

",YES or YES
22,"


			
			
			백예린
		

",내가 날 모르는 것처럼 (Feat. 카더가든)
23,"
Jvcki Wai
",띵 (Prod. By 기리보이)
24,"


			
			
			헤이즈 (Heize)
		

",그러니까 (Feat. Colde)
25,"


			
			
			제니 (JENNIE)
		

",SOLO
26,"


			
			
			하은(라코스테남)
		

",신용재
27,"


			
			
			장범준
		

",그모습 그대로
28,"


			
			
			벤
		

",열애중
29,"


			
			
			양다일
		

",고백
30,"


			
			
			케이시(Kassy)
		

",그때가 좋았어
31,"


			
			
			WINNER
		

",MILLIONS
32,"


			
			
			폴킴
		

",초록빛
33,"


			
			
			장범준
		

",엄마 용돈 좀 보내주세요
34,"


			
			
			숀(SHAUN)
		

",Way Back Home
35,"


			
			
			백예린
		

",Dear my blue
36,"


			
			
			백예린
		

",지켜줄게
37,"


			
			
			아이유(IU)
		

",밤편지
38,"


			
			
			백예린
		

",Our love is great
39,"


			
			
			아이유(IU)
		

",삐삐
40,"


			
			
			닐로(Nilo)
		

",지나오다
41,"


			
			
			장범준
		

",이밤
42,"


			
			
			윤건
		

",너도 그냥 날 놓아주면 돼
43,"


			
			
			(여자)아이들
		

",Senorita
44,"


			
			
			에일리
		

",첫눈처럼 너에게 가겠다
45,"


			
			
			장범준
		

",왜
46,"


			
			
			TWICE(트와이스)
		

",Dance The Night Away
47,"


			
			
			여자친구(GFRIEND)
		

",해야 (Sunrise)
48,"


			
			
			방탄소년단
		

",IDOL
49,"


			
			
			바이브
		

",가을 타나 봐
50,"


			
			
			임창정
		

",하루도 그대를 사랑하지 않은 적이 없었다
